symbol,name,last,high,low,volume,daily_change,weekly_change,monthly_change,annual_change
AEFES,ANADOLU EFES,"19,41","19,79","19,18","574,351,551.86","-1,72","-0,82","3,12","24,58"
AKBNK,AKBANK,"67,85","69,50","67,80","4,189,900,029.25","-1,81","-3,42","-7,31","0,32"
ASELS,ASELSAN,"388,75","409,25","387,00","6,132,939,295.50","-1,21","-6,33","-7,50","67,78"
ASTOR,ASTOR ENERJI,"335,75","361,00","331,75","11,565,871,881.75","-2,47","4,27","18,22","187,21"
BIMAS,BIM MAGAZALAR,"391,75","399,75","391,00","2,070,560,180.75","-0,25","-3,33","5,66","46,04"
DSTKF,DESTEK FINANS FAKTORING,"1838,00","1900,00","1812,00","680,454,514.00","-3,26","-6,70","-32,67","231,17"
EKGYO,EMLAK KONUT GMYO,"19,47","19,99","19,47","1,764,345,516.93","-1,86","-4,18","-5,39","-4,75"
ENKAI,ENKA INSAAT,"95,90","98,90","96,10","529,720,442.20","-2,94","-5,70","-8,32","25,72"
EREGL,EREGLI DEMIR CELIK,"37,82","38,72","37,72","2,062,071,483.58","-2,12","-4,54","7,69","58,77"
FROTO,FORD OTOSAN,"85,50","87,05","85,40","2,063,548,433.80","-1,33","-6,51","-12,76","-4,55"
GARAN,GARANTI BANKASI,"129,30","130,30","128,40","1,659,924,150.90","-0,39","-0,39","-3,36","-6,25"
GUBRF,GUBRE FABRIK.,"550,50","571,00","548,50","528,796,803.50","-1,70","-7,40","3,77","58,19"
ISCTR,IS BANKASI (C),"13,44","13,72","13,42","4,178,013,606.25","-1,90","-3,10","-6,28","-0,54"
KCHOL,KOC HOLDING,"189,50","196,20","189,10","3,643,814,122.40","-3,32","-4,77","-6,28","16,46"
KRDMD,KARDEMIR (D),"38,36","40,34","38,36","1,194,917,617.46","-4,58","-8,62","-0,42","51,86"
MGROS,MIGROS TICARET,"681,00","689,50","678,00","735,015,613.50","-0,66","-0,22","6,88","31,34"
PETKM,PETKIM,"23,66","24,46","23,62","823,254,090.88","-2,79","-9,00","-1,00","45,78"
PGSUS,PEGASUS,"169,40","173,60","169,20","949,140,293.10","-2,31","-4,08","-6,20","-11,63"
SAHOL,SABANCI HOLDING,"90,85","93,05","90,85","1,317,037,387.55","-1,94","-2,36","-5,02","9,57"
SASA,SASA POLYESTER,"2,72","2,85","2,71","6,804,862,426.88","-3,20","-3,89","-13,38","-2,16"
SISE,SISE CAM,"44,90","46,34","44,84","1,383,517,609.68","-2,77","-6,85","-6,18","16,99"
TAVHL,TAV HAVALIMANLARI,"253,50","260,00","253,00","564,730,757.00","-2,78","-1,84","-8,98","-15,00"
TCELL,TURKCELL,"105,60","108,10","105,40","1,415,880,851.60","-2,76","-3,56","-5,80","13,43"
THYAO,TURK HAVA YOLLARI,"284,50","295,75","283,75","9,790,997,319.25","-3,56","-5,17","-7,70","5,96"
TOASO,TOFAS OTO. FAB.,"290,00","295,00","287,50","505,200,604.50","0,17","-3,97","-1,53","25,50"
TRALT,TURK ALTIN ISLETMELERI,"42,80","44,96","42,76","2,664,240,608.44","-4,80","-9,70","3,43","4,44"
TTKOM,TURK TELEKOM,"60,20","62,45","60,15","738,634,900.85","-3,14","-2,43","-3,14","4,70"
TUPRS,TUPRAS,"249,80","253,50","248,60","2,244,358,693.75","-0,08","-3,37","-7,82","41,02"
VAKBN,VAKIFLAR BANKASI,"30,38","30,72","30,18","650,953,703.58","-0,13","-1,36","-4,04","-0,98"
YKBNK,YAPI VE KREDI BANK.,"34,98","35,78","34,88","3,486,741,584.60","-1,96","-5,00","-5,56","-3,42"
