symbol,name,last,high,low,volume,daily_change,weekly_change,monthly_change,annual_change
KTLEV,KATILIMEVIM TAS. FIN.,"83,45","84,60","80,15","2,323,346,530.45","3,22","4,31","6,71","289,23"
KUYAS,KUYAS YATIRIM,"85,35","88,20","84,20","1,150,473,024.45","-0,76","-0,93","11,35","59,53"
MAGEN,MARGUN ENERJI,"61,30","63,20","61,10","366,679,048.10","-1,13","-0,57","16,87","60,81"
MAVI,MAVI GIYIM,"43,36","44,16","43,10","180,203,674.74","0,42","-0,32","2,99","-0,37"
MGROS,MIGROS TICARET,"648,50","658,00","647,00","1,627,435,156.00","1,17","-1,14","7,63","24,23"
MIATK,MIA TEKNOLOJI,"40,42","40,68","39,96","546,214,430.72","0,65","-6,31","-2,79","2,54"
MPARK,MLP SAGLIK,"460,25","464,75","450,25","169,165,232.25","1,15","3,89","8,17","20,96"
OBAMS,OBA MAKARNACILIK,"8,20","8,31","8,15","169,933,733.13","0,37","-1,44","-6,71","3,02"
ODAS,ODAS ELEKTRIK,"6,73","7,00","6,71","749,482,933.21","-1,03","0,00","17,25","32,74"
OTKAR,OTOKAR,"394,75","403,00","394,00","300,410,818.75","0,57","0,19","8,45","-18,78"
OYAKC,OYAK CIMENTO,"25,52","25,78","25,28","274,303,504.88","1,43","-0,31","9,81","10,76"
PAHOL,PASIFIK HOLDING,"1,57","1,60","1,56","546,160,522.23","1,29","-0,63","5,37","1,29"
PASEU,PASIFIK EURASIA LOJISTIK,"121,70","123,30","121,00","178,605,286.60","0,50","0,58","-1,85","-10,18"
PATEK,PASIFIK TEKNOLOJI,"20,40","20,72","19,87","443,538,546.58","1,59","1,90","13,84","-7,36"
PETKM,PETKIM,"21,98","22,44","21,80","2,924,583,509.68","-0,99","2,90","3,58","35,43"
PGSUS,PEGASUS,"186,00","188,80","185,60","2,894,488,532.30","1,25","-1,27","5,98","-2,97"
PSGYO,PASIFIK GMYO,"2,42","2,49","2,39","445,011,695.52","0,41","-2,42","-1,63","-2,81"
QUAGR,QUA GRANITE HAYAL YAPI,"3,49","3,61","3,43","516,559,404.85","2,65","-1,69","21,18","22,46"
RALYH,RAL YATIRIM HOLDING,"271,00","276,75","243,90","517,773,664.05","5,76","3,14","34,42","18,50"
REEDR,REEDER TEKNOLOJI,"7,56","7,76","7,55","186,890,455.20","0,27","0,53","-1,95","14,37"
SAHOL,SABANCI HOLDING,"99,80","101,80","99,35","4,071,808,247.20","0,71","-2,16","13,43","20,36"
SARKY,SARKUYSAN,"28,10","29,30","28,00","285,323,118.68","0,50","0,07","4,15","56,46"
SASA,SASA POLYESTER,"2,65","2,69","2,59","7,992,017,525.93","1,92","1,15","13,25","-4,68"
SISE,SISE CAM,"47,96","49,08","47,90","2,526,072,617.72","0,42","1,10","9,05","24,96"
SKBNK,SEKERBANK,"12,59","12,85","12,51","389,892,924.81","0,80","3,71","18,55","61,83"
SOKM,SOK MARKETLER TICARET,"52,80","54,30","52,50","335,794,029.85","-1,40","-6,30","7,93","3,43"
TABGD,TAB GIDA,"253,50","258,00","252,75","167,108,169.50","0,00","-0,59","5,10","21,23"
TAVHL,TAV HAVALIMANLARI,"327,00","335,00","325,75","556,855,725.75","-0,46","-5,42","6,26","9,64"
TCELL,TURKCELL,"116,40","118,50","115,80","1,659,827,535.90","0,61","-0,77","9,92","25,03"
THYAO,TURK HAVA YOLLARI,"322,00","326,00","319,50","14,514,710,825.75","1,66","-0,39","9,43","19,93"
TKFEN,TEKFEN HOLDING,"120,50","122,30","118,00","1,124,616,001.30","1,86","11,99","22,96","71,16"
TOASO,TOFAS OTO. FAB.,"290,50","292,50","286,50","587,995,727.50","2,38","2,02","6,12","25,72"
TRALT,TURK ALTIN ISLETMELERI,"43,24","44,82","43,12","3,930,656,377.90","-1,01","-3,14","3,20","5,51"
TRENJ,TR DOGAL ENERJI,"94,45","98,10","94,35","139,979,464.65","-1,77","-1,46","3,51","1,50"
TRMET,TR ANADOLU METAL MADENCILIK,"132,90","137,90","132,10","480,901,867.60","-1,70","-1,56","11,68","27,30"
TSKB,T.S.K.B.,"12,09","12,45","12,03","288,351,933.38","-0,90","-1,63","8,82","2,61"
TTKOM,TURK TELEKOM,"62,40","63,75","62,30","614,565,770.15","0,08","-1,81","7,49","8,52"
TUKAS,TUKAS,"2,38","2,43","2,38","214,564,932.72","0,00","-2,06","4,85","-3,64"
TUPRS,TUPRAS,"270,00","272,50","260,75","9,830,100,800.00","2,27","6,09","4,55","52,43"
TUREX,TUREKS TURIZM TASIMACILIK,"8,12","8,31","8,08","270,640,137.94","1,50","1,12","14,21","14,85"
TURSG,TURKIYE SIGORTA,"13,37","13,50","13,25","400,854,592.16","1,44","-0,37","5,28","13,21"
ULKER,ULKER BISKUVI,"118,50","120,80","118,40","526,456,236.80","-0,67","-1,33","0,59","9,72"
VAKBN,VAKIFLAR BANKASI,"33,94","35,16","33,86","1,003,486,909.94","-0,99","-2,86","13,13","10,63"
VESTL,VESTEL,"27,98","28,38","27,90","103,872,555.26","0,43","-1,06","0,14","-2,51"
YKBNK,YAPI VE KREDI BANK.,"37,34","39,26","37,12","10,575,798,963.76","-1,89","-3,41","13,08","3,09"
ZOREN,ZORLU ENERJI,"2,92","2,96","2,91","124,711,910.02","0,69","0,00","5,04","-4,89"
