stock,id,ipoDate,firstTradeDate
SAFKR,120974593,2018-01-11,2018-01-16
SAMAT,64308281,2011-06-17,2011-06-24
SANEL,64308989,2013-11-25,2013-11-25
SANKO,6495134,2000-09-28,2000-10-05
SARKY,64303049,,1986-01-01
SAYAS,64308830,2013-06-24,2013-06-28
SEKUR,62745803,2013-10-02,2013-10-07
SELEC,6498791,2006-04-21,
SELVA,124598722,2021-06-18,
SILVR,64305346,2006-06-19,2006-06-23
SMART,134953128,2019-05-09,2019-05-16
SMRTG,134953128,2022-03-24,
SNGYO,64306319,2007-06-15,2007-06-22
SNICA,146900594,2022-11-18,
SOKE,64303313,2000-04-26,2000-04-26
SRVGY,64308760,2013-04-18,2013-04-24
SUNTK,137604542,2022-05-20,2022-05-20
SURGY,162798611,,2023-12-14
SUWEN,136638982,2022-04-21,
TARKM,159005038,2023-09-06,2023-09-12
TDGYO,64310392,2018-02-16,2018-02-23
TEZOL,126742228,2021-09-10,2021-09-15
TKNSA,10618082,2012-05-11,2012-05-17
TMSN,12111976,2012-11-30,2012-12-05
TNZTP,148878427,2023-01-06,
TUCLK,64309147,2014-06-12,2014-06-16
TUKAS,64303011,1994-11-22,
TUPRS,6493639,1991-05-30,
TUREX,121299605,2021-04-02,
ULAS,120969744,2012-07-30,2012-08-06
ULUSE,120972215,2014-11-13,
USAK,9938392,1990-11-28,1990-11-30
VAKKO,64303281,1998-03-30,1998-04-03
VANGD,64308283,,2011-08-18
VESBE,6498792,2006-04-12,2006-04-21
VRGYO,160626564,2023-10-20,2023-10-27
YATAS,9938398,1996-08-08,1996-08-19
YEOTK,126415367,2021-08-31,2021-09-03
YUNSA,64303650,1990-04-06,1990-04-06
ZEDUR,120964683,,2010-11-05
