symbol,name,last,high,low,volume,daily_change,weekly_change,monthly_change,annual_change
AEFES,ANADOLU EFES,"19,30","19,66","19,28","238,099,003.60","0,00","0,10","2,53","23,88"
AKBNK,AKBANK,"64,00","65,60","64,00","4,684,577,058.85","0,00","0,63","-12,57","-5,37"
ALARK,ALARKO HOLDING,"96,05","97,30","96,05","146,705,597.10","0,00","-0,26","3,88","-2,59"
ARCLK,ARCELIK,"103,70","105,40","103,70","94,276,382.40","0,00","-0,38","-7,33","2,67"
ASELS,ASELSAN,"380,25","401,75","380,25","9,058,282,693.00","0,00","-7,26","-9,52","64,11"
ASTOR,ASTOR ENERJI,"312,75","343,50","312,75","7,577,431,978.75","0,00","-9,35","10,12","167,54"
BIMAS,BIM MAGAZALAR,"373,00","380,75","371,75","2,386,751,999.25","0,00","-5,03","0,61","39,05"
BRSAN,BORUSAN BORU SANAYI,"489,00","501,00","482,00","322,788,891.75","0,00","4,54","-10,60","-11,89"
BTCIM,BATI CIMENTO,"6,09","6,24","6,09","123,905,059.92","0,00","0,33","-2,09","59,84"
CANTE,CAN2 TERMIK,"1,52","1,54","1,52","237,556,809.39","0,00","-0,65","-15,08","-9,63"
CCOLA,COCA COLA ICECEK,"80,05","81,30","79,70","90,878,482.30","0,00","-0,87","8,50","38,39"
CIMSA,CIMSA,"50,65","52,25","50,65","92,671,838.25","0,00","-1,75","-12,07","10,61"
DOAS,DOGUS OTOMOTIV,"184,80","188,80","183,50","168,763,210.80","0,00","2,16","2,38","6,04"
DSTKF,DESTEK FINANS FAKTORING,"2105,00","2170,00","2038,00","2,636,047,346.00","0,00","5,94","-22,89","279,28"
EKGYO,EMLAK KONUT GMYO,"19,10","19,67","19,10","758,436,759.63","0,00","-0,98","-7,19","-6,56"
ENKAI,ENKA INSAAT,"100,50","100,50","97,30","301,021,941.70","0,00","1,57","-3,92","31,75"
EREGL,EREGLI DEMIR CELIK,"39,18","39,88","39,18","1,641,876,013.22","0,00","1,29","11,56","64,48"
FROTO,FORD OTOSAN,"84,15","87,70","84,15","5,078,789,555.05","0,00","-3,11","-14,13","-6,06"
GARAN,GARANTI BANKASI,"122,90","125,90","122,90","1,284,889,982.40","0,00","0,49","-8,15","-10,89"
GUBRF,GUBRE FABRIK.,"550,00","572,00","542,00","797,036,033.50","0,00","1,01","3,68","58,05"
HALKB,T. HALK BANKASI,"42,10","43,44","41,74","1,467,620,863.24","0,00","10,56","11,26","14,46"
