stock,id,ipoDate,firstTradeDate
MANAS,125228598,2021-07-14,2021-07-27
MARKA,64304845,2005-05-04,
MARMR,195450967,2025-09-16,
MARTI,64307870,1990-02-09,1990-02-09
MEGAP,64308449,2012-08-08,
MEGMT,162798612,,2023-12-15
MEPET,64308257,2011-07-21,2011-07-25
MERIT,12739087,2012-11-27,
MERKO,64303001,1994-10-06,
METRO,46536001,,1998-03-12
MGROS,6495192,1991-02-27,
MHRGY,160307304,2023-10-18,2023-10-18
MIATK,129445194,2021-11-16,2021-11-22
MMCAS,64308362,2011-12-02,2011-12-05
MOGAN,166374319,2024-03-07,
MOPAS,181441068,2025-01-29,
MRGYO,64307870,2010-09-24,2010-09-24
MRSHL,64303183,1990-10-17,1990-11-07
MSGYO,120973827,2017-01-12,2017-01-19
MTRKS,121299606,2021-03-31,2021-04-06
MTRYO,64304003,1999-01-12,1999-01-12
MZHLD,64303184,1997-09-17,
NATEN,120975940,2019-08-01,2019-08-08
NIBAS,64308445,2012-02-27,2012-03-05
NTHOL,6494577,1989-10-05,1989-10-05
NUGYO,64303206,1999-12-09,1999-12-15
NUHCM,64303204,2000-02-17,2000-02-11
ODAS,13276438,2013-05-14,2013-05-21
ODINE,130269478,2024-03-24,
ONRYT,170285274,2024-05-28,
ORCAY,126415366,2021-08-27,2021-09-02
ORMA,120969851,,2012-10-23
OSMEN,64308526,2012-02-14,2012-02-14
OTKAR,34515216,1995-04-13,
OTTO,64308796,2013-05-20,2013-05-20
OYAKC,6494497,1987-07-17,
OYAYO,64306239,2007-04-27,2007-05-04
OYLUM,64308430,2012-04-26,2012-05-04
OYYAT,124598720,2021-06-04,2023-10-02
OZATD,174842243,,2024-08-29
OZGYO,64303209,1994-09-07,1995-08-21
OZKGY,64308408,2012-02-10,2012-02-15
OZSUB,147680266,2022-11-23,
PAMEL,64309150,2014-06-09,2014-06-13
PAPIL,23377703,2019-11-29,
PATEK,165337623,2024-02-13,
PCILT,129712712,2021-11-25,
PEKGY,64310622,2018-02-16,2018-02-21
PGSUS,13100914,2013-04-19,
PINSU,64303261,1987-08-28,1987-08-28
PKENT,64303211,1991-09-10,1991-09-10
PNSUT,6495545,1986-02-03,1986-02-03
POLTK,64309086,,2014-03-06
PRDGS,139456596,2022-06-15,2022-06-15
PRKAB,64303262,1986-01-17,
PRKME,145651542,1997-10-14,1997-10-04
PRZMA,64308453,2012-05-10,
PSDTC,120972206,2014-11-07,2014-11-12
PSGYO,130784066,2021-12-10,2021-12-16
QNBFK,179981866,1993-11-05,
QNBTR,64303000,2018-11-02,
RALYH,64303315,1996-10-17,1996-10-30
RAYSG,64303263,1997-07-17,1997-07-24
REEDR,159194896,2023-09-21,2023-09-21
ROYAL,64308765,,2013-05-03
RTALB,64309142,2014-05-27,
RUZYE,64303677,2000-05-17,
RYGYO,64307877,2010-07-12,2010-07-12
RYSAS,64305197,2006-02-02,2006-02-10
SAHOL,6494478,1997-07-02,1997-07-08
SANFM,64308472,2012-04-12,2012-04-18
SASA,64303264,1996-11-01,1996-10-31
SDTTR,148622922,2022-12-29,
SEGMN,171749417,,2024-06-23
SEGYO,138768413,2022-06-07,2022-06-07
SEKFK,64304830,2004-07-15,2004-07-21
SERNT,181989829,2025-02-04,
SEYKM,64309615,2015-07-28,2020-05-08
SISE,6491731,1986-01-13,1986-01-03
SKBNK,6494306,1997-04-03,1997-04-10
SKTAS,64303266,1995-03-23,1995-04-03
SKYLP,64308450,2012-05-30,
SKYMD,162435210,2023-09-08,2023-11-21
SMRVA,180030706,2024-12-18,
SNKRN,64309410,2015-02-27,2015-03-04
SNPAM,64303268,1994-12-12,1994-12-26
SODSN,120969699,,2012-05-31
SOKM,44486722,2018-05-12,2018-05-18
SONME,64303267,1991-09-23,1991-09-23
SUMAS,120974669,2018-01-01,
TABGD,160626565,,2023-10-26
TATEN,157824130,2023-08-17,2023-08-17
TATGD,6495549,1993-07-28,
TAVHL,6499546,2007-02-16,
TBORG,64303278,1989-09-08,1989-11-29
TCELL,6492797,2000-07-03,2000-07-11
TCKRC,174106474,2024-08-15,
TEHOL,64304012,,1992-10-10
TEKTU,64304015,2000-08-03,2000-08-10
TERA,61871287,2022-12-16,2022-12-22
TGSAS,64308462,2012-05-31,
THYAO,6495582,1990-12-20,
TKFEN,6499944,2007-11-16,2007-11-23
TLMAN,120974586,2018-01-19,2018-01-24
TMPOL,30353076,2013-12-09,
TOASO,6491727,1991-07-01,1991-07-01
TRCAS,6494535,1992-06-04,
TRGYO,8569750,2010-10-15,2010-10-21
TRHOL,64303963,1994-08-18,
TRILC,120976967,2021-03-05,
TSGYO,64307799,2010-04-02,2010-04-09
TSKB,6493650,1986-04-10,1986-12-26
TSPOR,64304816,2005-04-10,2005-04-10
TTKOM,6500204,2008-05-09,2008-05-15
TTRAK,6497303,2004-06-03,2004-06-04
TURGG,120970374,2013-07-22,2013-07-24
TURSG,120961744,1994-11-14,1995-01-25
UFUK,64303701,,2006-11-09
ULKER,6497298,1996-10-14,2004-02-23
ULUFA,128847086,2021-11-05,
ULUUN,120972214,2014-11-14,2014-11-20
UMPAS,120972184,2014-12-18,2014-12-18
UNLU,124598721,2022-06-01,
VAKBN,6498365,,2005-11-18
VAKFN,64303279,1991-04-24,1991-04-24
VBTYZ,125137949,2021-07-06,
VERTU,64309580,2015-11-12,2015-11-17
VERUS,118906960,2013-11-12,
VESTL,6491732,1990-06-27,1990-06-27
VKFYO,64303691,1991-08-23,1991-06-20
VKGYO,64303280,1996-12-24,1996-12-26
VKING,8199172,1994-10-13,1994-10-24
VSNMD,182127535,,2025-02-11
YAPRK,120964720,,2011-05-13
YAYLA,137697464,2013-11-14,2015-07-10
YBTAS,116485507,,2012-08-09
YESIL,64304496,2004-03-02,
YGGYO,64308911,,2013-08-16
YGYO,64303360,,1997-12-23
YIGIT,170587780,2024-06-06,
YKBNK,6491733,1987-05-28,1987-05-28
YKSLN,120976162,2019-11-14,
YONGA,120969741,2012-07-19,2012-07-19
YYAPI,64303316,2004-03-02,
YYLGD,137697464,2022-05-20,2022-05-20
ZOREN,6494311,2000-05-17,2022-11-14
ZRGYO,122419127,2021-04-30,2021-05-06
