Hisseler,Unnamed: 1,Son,Değişim Yüzde,Hacim (TL),Saat,stock
TERA TERA YATIRIM MENKUL DEGERLER,,62950,-462,"2.538.805.691,00",15:51,TERA
TGSAS TGS DIS TICARET,,19830,-279,"14.525.128,20",15:51,TGSAS
THYAO TURK HAVA YOLLARI,,32750,242,"10.592.930.057,50",15:51,THYAO
TKNSA TEKNOSA IC VE DIS TICARET,,2660,0,"62.661.090,08",15:51,TKNSA
TLMAN TRABZON LIMAN,,10870,65,"42.657.922,40",15:48,TLMAN
TMPOL TEMAPOL POLIMER PLASTIK,,17510,139,"63.996.636,60",15:51,TMPOL
TOASO TOFAS OTO. FAB.,,26750,85,"1.292.324.566,50",15:51,TOASO
TRCAS TURCAS HOLDING,,3782,413,"66.882.885,56",15:51,TRCAS
TRGYO TORUNLAR GMYO,,7300,34,"76.564.915,95",15:51,TRGYO
TRILC TURK ILAC SERUM,,2386,188,"81.950.300,28",15:51,TRILC
TSGYO TSKB GMYO,,812,74,"36.845.980,47",15:51,TSGYO
TSKB T.S.K.B.,,1409,159,"205.623.996,01",15:51,TSKB
TSPOR TRABZONSPOR SPORTIF,,131,-76,"562.965.402,02",15:51,TSPOR
TTKOM TURK TELEKOM,,5395,56,"1.147.642.558,20",15:51,TTKOM
TTRAK TURK TRAKTOR,,59750,110,"110.582.347,50",15:51,TTRAK
TURSG TURKIYE SIGORTA,,958,609,"176.491.854,30",15:51,TURSG
UFUK UFUK YATIRIM,,"1.149,00",995,"55.195.791,00",15:47,UFUK
ULAS ULASLAR TURIZM YAT.,,2874,-117,"13.467.236,10",15:49,ULAS
ULKER ULKER BISKUVI,,11160,118,"545.069.598,40",15:51,ULKER
ULUFA ULUSAL FAKTORING,,409,49,"45.975.164,30",15:50,ULUFA
ULUUN ULUSOY UN SANAYI,,810,100,"25.619.050,32",15:51,ULUUN
UMPAS UMPAS HOLDING,,000,0,000,18:10,UMPAS
UNLU UNLU YATIRIM HOLDING,,1603,477,"57.776.221,77",15:50,UNLU
VAKBN VAKIFLAR BANKASI,,2816,270,"2.924.372.943,82",15:51,VAKBN
VAKFN VAKIF FIN. KIR.,,212,392,"719.661.289,85",15:51,VAKFN
VBTYZ VBT YAZILIM,,2228,-54,"35.613.229,14",15:51,VBTYZ
VERTU VERUSATURK GIRISIM,,4268,-157,"148.237.531,86",15:51,VERTU
VERUS VERUSA HOLDING,,38275,255,"147.511.947,00",15:50,VERUS
VKFYO VAKIF YAT. ORT.,,2560,323,"11.311.880,22",15:51,VKFYO
VKGYO VAKIF GMYO,,253,120,"91.310.787,54",15:50,VKGYO
VKING VIKING KAGIT,,3188,473,"38.452.504,40",15:50,VKING
VRGYO VERA KONSEPT GMYO,,359,257,"127.612.702,47",15:51,VRGYO
YAPRK YAPRAK SUT VE BESI CIFT.,,31050,-48,"60.760.160,25",15:51,YAPRK
YAYLA YAYLA EN. UR. TUR. VE INS,,3620,33,"16.170.248,10",15:51,YAYLA
YBTAS YIBITAS INSAAT MALZEME,,3188,291,"12.899.285,60",13:55,YBTAS
YESIL YESIL YATIRIM HOLDING,,281,181,"202.338.348,69",15:51,YESIL
YGGYO YENI GIMAT GMYO,,11540,185,"28.413.262,00",15:51,YGGYO
YGYO YESIL GMYO,,902,0,"7.043.375,24",13:55,YGYO
YIGIT YIGIT AKU,,2878,127,"72.731.070,76",15:51,YIGIT
YKBNK YAPI VE KREDI BANK.,,3576,311,"4.356.934.019,22",15:51,YKBNK
YKSLN YUKSELEN CELIK,,629,414,"66.361.069,89",15:51,YKSLN
YONGA YONGA MOBILYA,,6665,-30,"4.334.962,60",13:55,YONGA
YYAPI YESIL YAPI,,211,293,"1.114.496.425,23",15:51,YYAPI
YYLGD YAYLA GIDA,,1133,53,"93.017.971,75",15:49,YYLGD
ZOREN ZORLU ENERJI,,374,54,"177.033.562,34",15:51,ZOREN
ZRGYO ZIRAAT GMYO,,2316,149,"20.213.376,86",15:50,ZRGYO
