Hisseler,Unnamed: 1,Son,Değişim Yüzde,Hacim (TL),Saat,stock
BVSAN BULBULOGLU VINC,,11460,-78,"61.826.445,30",15:51,BVSAN
BYDNR BAYDONER RESTORANLARI,,2540,111,"21.654.065,96",15:51,BYDNR
CASA CASA EMTIA PETROL,,10490,175,"2.064.919,80",13:55,CASA
CATES CATES ELEKTRIK,,3484,93,"26.193.042,56",15:51,CATES
CCOLA COCA COLA ICECEK,,4798,50,"299.130.607,82",15:51,CCOLA
CEMAS CEMAS DOKUM,,740,-80,"254.049.743,52",15:51,CEMAS
CEOEM CEO EVENT MEDYA,,3850,-128,"60.602.096,64",15:51,CEOEM
CLEBI CELEBI,,"1.607,00",12,"106.379.556,00",15:51,CLEBI
CMENT CIMENTAS,,41000,393,"2.107.577,00",13:55,CMENT
CONSE CONSUS ENERJI,,358,199,"31.859.123,71",15:50,CONSE
CRDFA CREDITWEST FAKTORING,,2096,470,"25.495.250,99",15:51,CRDFA
CRFSA CARREFOURSA,,8625,141,"35.615.504,10",15:49,CRFSA
CUSAN CUHADAROGLU METAL,,3470,206,"16.713.388,76",15:49,CUSAN
DAGI DAGI GIYIM,,850,35,"47.996.514,73",15:51,DAGI
DARDL DARDANEL,,290,35,"104.628.043,10",15:50,DARDL
DENGE DENGE HOLDING,,316,569,"180.294.862,49",15:51,DENGE
DERHL DERLUKS YATIRIM HOLDING,,2034,-155,"146.279.664,72",15:51,DERHL
DERIM DERIMOD,,4176,-365,"60.026.021,94",15:51,DERIM
DESA DESA DERI,,1524,-39,"38.512.600,27",15:51,DESA
DEVA DEVA HOLDING,,6745,112,"23.849.108,20",15:49,DEVA
DGGYO DOGUS GMYO,,3438,76,"2.494.572,58",15:50,DGGYO
DIRIT DIRITEKS DIRILIS TEKSTIL,,3166,-264,"2.921.722,78",13:55,DIRIT
DITAS DITAS DOGAN,,3522,-455,"28.130.700,44",15:51,DITAS
DMLKTG EMLAK KONUT DAMLA KENT GMS,,599,50,"157.562.400,32",15:51,DMLKTG
DMRGD DMR UNLU MAMULLER,,2944,-121,"59.058.520,08",15:50,DMRGD
DNISI DINAMIK ISI MAKINA YALITIM,,2428,75,"71.037.228,50",15:51,DNISI
DOAS DOGUS OTOMOTIV,,18140,28,"372.804.507,20",15:51,DOAS
DOBUR DOGAN BURDA,,35575,-313,"104.511.292,00",15:51,DOBUR
DOCO DO-CO,,"11.007,50",159,"40.229.720,00",15:51,DOCO
DOHOL DOGAN HOLDING,,1801,508,"348.517.213,88",15:51,DOHOL
DOKTA DOKTAS DOKUMCULUK,,2986,-305,"49.988.168,46",15:50,DOKTA
DSTKF DESTEK FINANS FAKTORING,,63000,-909,"858.118.521,00",15:51,DSTKF
DURDO DURAN DOGAN BASIM,,405,-241,"33.232.237,66",15:51,DURDO
DZGYO DENIZ GMYO,,801,114,"92.109.430,25",15:51,DZGYO
ECILC ECZACIBASI ILAC,,7045,43,"341.890.745,75",15:51,ECILC
ECZYT ECZACIBASI YATIRIM,,23840,145,"43.226.259,00",15:51,ECZYT
EGEEN EGE ENDUSTRI,,"8.682,50",38,"120.981.587,50",15:51,EGEEN
EGEGY EGEYAPI AVRUPA GMYO,,2912,118,"31.720.026,32",15:51,EGEGY
EGSER EGE SERAMIK,,375,0,"16.016.948,67",15:50,EGSER
EKGYO EMLAK KONUT GMYO,,2046,79,"1.759.366.221,32",15:51,EKGYO
EKIZ EKIZ KIMYA,,10930,-537,"3.295.992,30",13:55,EKIZ
EKOS EKOS TEKNOLOJI,,2604,-8,"137.977.394,02",15:51,EKOS
EMKEL EMEK ELEKTRIK,,11530,-237,"478.971.509,20",15:51,EMKEL
EMNIS EMINIS AMBALAJ,,20610,188,"950.615,90",13:55,EMNIS
ENDAE ENDA ENERJI HOLDING,,1735,206,"55.266.505,39",15:51,ENDAE
ENKAI ENKA INSAAT,,7580,-13,"824.244.793,05",15:51,ENKAI
ENSRI ENSARI SINAI YATIRIMLAR,,10470,-169,"57.452.154,60",15:51,ENSRI
ENTRA IC ENTERRA YEN. ENERJI,,1212,25,"150.237.737,11",15:51,ENTRA
EPLAS EGEPLAST,,722,344,"86.878.392,96",15:50,EPLAS
ERBOS ERBOSAN,,20460,-154,"29.855.353,10",15:51,ERBOS
ERCB ERCIYAS CELIK BORU,,8255,104,"25.724.025,75",15:51,ERCB
ERSU ERSU GIDA,,2026,201,"21.036.274,85",15:51,ERSU
ESCAR ESCAR FILO,,1971,440,"458.052.295,25",15:51,ESCAR
ESEN ESENBOGA ELEKTRIK,,1313,496,"294.686.170,40",15:51,ESEN
ETILR ETILER GIDA,,488,83,"41.531.769,80",15:51,ETILR
ETYAT EURO TREND YAT. ORT.,,1561,-195,"4.782.106,73",15:49,ETYAT
EUHOL EURO YATIRIM HOLDING,,1112,27,"2.688.659,78",13:55,EUHOL
EUKYO EURO KAPITAL YAT. ORT.,,1531,999,"18.572.061,03",15:51,EUKYO
EUREN EUROPEN ENDUSTRI,,972,705,"1.147.220.973,50",15:51,EUREN
EUYO EURO YAT. ORT.,,1407,50,"7.230.737,72",15:51,EUYO
FENER FENERBAHCE FUTBOL,,1283,-332,"834.354.455,15",15:51,FENER
FLAP FLAP KONGRE TOPLANTI HIZ.,,1053,19,"15.689.983,18",15:50,FLAP
FMIZP F-M IZMIT PISTON,,34275,-7,"28.080.732,25",15:51,FMIZP
FRIGO FRIGO PAK GIDA,,978,724,"167.766.751,57",15:51,FRIGO
FROTO FORD OTOSAN,,10540,-38,"1.613.702.628,20",15:51,FROTO
GARAN GARANTI BANKASI,,15110,209,"4.106.469.593,70",15:51,GARAN
GARFA GARANTI FAKTORING,,2876,235,"16.635.809,10",15:51,GARFA
GEDIK GEDIK Y. MEN. DEG.,,716,42,"35.832.146,34",15:51,GEDIK
GIPTA GIPTA OFIS KIRTASIYE,,14230,651,"216.771.401,90",15:51,GIPTA
GLBMD GLOBAL MEN. DEG.,,1365,-36,"4.201.755,50",15:47,GLBMD
GLCVY GELECEK VARLIK YONETIMI,,6895,-36,"41.019.479,65",15:51,GLCVY
GLRYH GULER YAT. HOLDING,,437,116,"38.383.105,81",15:51,GLRYH
GLYHO GLOBAL YAT. HOLDING,,886,103,"116.175.706,30",15:51,GLYHO
GMTAS GIMAT MAGAZACILIK,,2644,130,"15.641.906,34",15:51,GMTAS
GOZDE GOZDE GIRISIM,,2186,167,"47.776.628,94",15:50,GOZDE
GRNYO GARANTI YAT. ORT.,,1560,136,"1.224.535,65",13:55,GRNYO
GSDDE GSD DENIZCILIK,,1069,-175,"34.629.381,51",15:51,GSDDE
GSDHO GSD HOLDING,,495,102,"62.269.484,36",15:51,GSDHO
GSRAY GALATASARAY SPORTIF,,158,260,"951.430.611,08",15:51,GSRAY
GZNMI GEZINOMI SEYAHAT,,30225,-123,"162.866.893,75",15:51,GZNMI
