stock,Onay,Hisse Adı,Sektör,id,Halka Arz Tarihi,İlk İşlem Tarihi
ETYAT,Katılım Endeksine Uygun Değildir,Euro Trend Yatırım,Yatırım Ortaklıkları,64306938,2008-04-17,2008-04-16
EUHOL,Katılım Endeksine Uygun Değildir,Euro Yatırım,Holdingler,64307854,2010-06-10,2010-06-21
EUKYO,Katılım Endeksine Uygun Değildir,Euro Kapital Yatırım Ortaklığı,Yatırım Ortaklıkları,64308269,,2011-07-27
EUPWR,Katılım Endeksine Uygundur,Europower Enerji,Elektrik Enerji Ürt.Teçh/Tesis Kurulum,153340563,2023-04-20,
EUREN,Katılım Endeksine Uygun Değildir,Europen Endüstri,Demir-Çelik Döküm,139141836,2022-06-08,
EUYO,Katılım Endeksine Uygun Değildir,Euro Menkul,Yatırım Ortaklıkları,64305349,2006-06-07,2006-06-07
EYGYO,Katılım Endeksine Uygundur,EYG Gayrimenkul,GYO,148418634,,2022-12-29
FADE,Katılım Endeksine Uygundur,Fade Gıda Yatırım,Gıda,120976584,2020-07-30,2020-08-06
FENER,Katılım Endeksine Uygun Değildir,Fenerbahce Futbol A.Ş.,Spor,64304540,2004-02-12,2004-02-20
FLAP,Katılım Endeksine Uygun Değildir,Flap Kongre Hiz.Oto.Tur.A.Ş,Diğer,64308488,2012-06-12,
FMIZP,Katılım Endeksine Uygun Değildir,F-M İzmit Piston,Otomotiv Parçası,64303354,1990-08-20,1990-07-31
FONET,Katılım Endeksine Uygundur,Fonet Bilgi Teknolojileri,Teknoloji,120974003,2017-05-04,2017-05-04
FORMT,Katılım Endeksine Uygundur,Formet Metal ve Cam Sanayii,İnşaat Malzemeleri,120974845,,2018-05-22
FORTE,Katılım Endeksine Uygundur,Forte Bilgi İletişim,Teknoloji,155430253,2023-06-14,2023-06-14
FRIGO,Katılım Endeksine Uygun Değildir,Frigo Pak Gıda,Gıda,64303686,1995-04-06,1995-04-25
FROTO,Katılım Endeksine Uygun Değildir,Ford Otosan,Otomotiv,6491722,1986-01-13,1986-01-13
FZLGY,Katılım Endeksine Uygundur,Fuzul Gayrimenkul,GYO,157133366,2023-07-21,
GARAN,Katılım Endeksine Uygun Değildir,Garanti Bankası,Bankacılık,6491729,1990-06-06,1990-06-06
GARFA,Katılım Endeksine Uygun Değildir,Garanti BBVA Faktoring,Fin.Kiralama ve Faktoring,6500534,1993-11-29,1993-12-20
GEDIK,Katılım Endeksine Uygun Değildir,Gedik Yatırım,Aracı Kurumlar,9938562,2010-07-21,2023-09-04
GEDZA,Katılım Endeksine Uygundur,Gediz Ambalaj Sanayi,Kimyasal Ürün,120970695,,2014-01-21
GENIL,Katılım Endeksine Uygundur,Gen İlaç,Sağlık ve İlaç,126415361,2021-07-30,
GENTS,Katılım Endeksine Uygundur,Gentaş,Mobilya,64303356,1990-02-02,1990-02-02
GEREL,Katılım Endeksine Uygundur,Gersan Elektrik,Kablo,64304490,2003-05-05,2003-05-11
GESAN,Katılım Endeksine Uygundur,Girişim Elektrik,Elektrik Enerji Ürt.Teçh/Tesis Kurulum,126415364,2021-08-13,
GIPTA,Katılım Endeksine Uygun Değildir,Gıpta,Kırtasiye,159005039,2023-09-14,2023-09-14
GLBMD,Katılım Endeksine Uygun Değildir,Global Menkul Değerler,Aracı Kurumlar,64308310,2011-06-23,2011-06-28
GLCVY,Katılım Endeksine Uygun Değildir,Gelecek Varlık Yön.,Varlık Yönetim,128249959,2021-10-15,2023-07-26
GLRMK,Katılım Endeksine Uygundur,Gülermak Ağır Sanayi,İnşaat- Taahhüt,180793686,,2025-01-17
GLRYH,Katılım Endeksine Uygun Değildir,Güler Yatırım Holding,Holdingler,181361309,2011-01-01,
GLYHO,Katılım Endeksine Uygun Değildir,Global Yatırım Holding,Holdingler,64303058,1995-05-02,1995-05-22
GMTAS,Katılım Endeksine Uygun Değildir,Gimat Mağazacılık,Perakande - Ticaret,129457842,2021-11-12,2021-11-12
GOKNR,Katılım Endeksine Uygundur,Göknur Gıda,Gıda,150549852,2023-03-03,
GOLTS,Katılım Endeksine Uygundur,Göltaş Çimento,Çimento,64303357,1995-02-23,1995-03-06
GOODY,Katılım Endeksine Uygundur,Goodyear,Otomotiv Lastiği,64302938,1986-01-15,1986-01-15
GOZDE,Katılım Endeksine Uygun Değildir,Gözde Girisim Sermayesi,Yatırım Ortaklıkları,9938613,2010-01-25,2010-01-25
GRNYO,Katılım Endeksine Uygun Değildir,Garanti YO,Yatırım Ortaklıkları,64304002,1996-11-07,1996-11-18
GRSEL,Katılım Endeksine Uygundur,Gürsel Taşımacılık,Ulaştırma-Lojistik,134161491,2022-03-09,2022-03-09
GRTHO,Katılım Endeksine Uygundur,GrainTurk Tarım,Perakande - Ticaret,153593932,,2023-03-26
GSDDE,Katılım Endeksine Uygun Değildir,GSD Denizcilik Gayrimenkul İnş,Ulaştırma-Lojistik,64303270,1995-02-07,1995-02-20
GSDHO,Katılım Endeksine Uygun Değildir,GSD Holding A.Ş.,Holdingler,6496110,1999-11-04,
GSRAY,Katılım Endeksine Uygun Değildir,Galatasaray Sportif A.Ş,Spor,64304456,2002-02-14,2002-02-20
GUBRF,Katılım Endeksine Uygundur,Gübre Fabrikaları,Tarım Kimyasalları,6496111,1986-01-06,1986-01-03
GUNDG,Katılım Endeksine Uygundur,Gündoğdu Gıda,Gıda,174322255,,2024-08-22
GWIND,Katılım Endeksine Uygun Değildir,Galata Wind Enerji,Elektrik Üretim,121503952,2021-04-16,2021-04-22
